market_id,title,subtitle,event_ticker,series_ticker,status,close_time,expiration_time,yes_ask,yes_bid,last_price,volume
KXMVESPORTSMULTIGAMEEXTENDED-S202691E0ED7F177-AB36F1B33FF,"yes Cameron Young,yes Justin Rose,yes Ludvig Aberg,yes Matt Fitzpatrick,yes Scottie Scheffler,yes Xander Schauffele",,KXMVESPORTSMULTIGAMEEXTENDED-S202691E0ED7F177,,active,2026-05-10 23:00:00+00:00,2026-05-10 23:00:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S2026394F51E2EF9-EA406D061B7,"yes Miami,yes Cody Bellinger: 1+,yes Giancarlo Stanton: 2+,yes Corbin Carroll: 2+,yes Francisco Lindor: 1+,yes Bobby Witt Jr.: 2+",,KXMVESPORTSMULTIGAMEEXTENDED-S2026394F51E2EF9,,active,2026-04-12 14:00:00+00:00,2026-04-12 14:00:00+00:00,,,,
KXMVECROSSCATEGORY-S20263158B600288-E7A94414692,"yes New York Y,yes New York M,yes San Diego,yes Paul George: 2+,yes New York,yes Chicago,yes Golden State,yes Toronto,yes Houston,yes Kevin Durant: 2+,yes Kelly Oubre Jr.: 2+,yes Paul George: 2+,yes CAR Hurricanes,yes OTT Senators,yes ANA Ducks,yes NYI Islanders,yes LA Kings,yes VGK Golden Knights",,KXMVECROSSCATEGORY-S20263158B600288,,active,2026-04-12 14:00:00+00:00,2026-04-12 14:00:00+00:00,,,,
KXMVECROSSCATEGORY-S20262C0E284C8D5-0746C811EB0,"no Max Meyer: 10+,no Miami wins by over 3.5 runs,no Over 11.5 runs scored",,KXMVECROSSCATEGORY-S20262C0E284C8D5,,active,2026-04-12 14:00:00+00:00,2026-04-12 14:00:00+00:00,,,,
KXMVECROSSCATEGORY-S20263EE75E6A978-1D45A4EB109,"yes Toronto wins by over 4.5 points,no Over 246.5 points scored,no Over 227.5 points scored",,KXMVECROSSCATEGORY-S20263EE75E6A978,,active,2026-04-23 23:00:00+00:00,2026-04-23 23:00:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S2026E92E83598D0-B90C6CD0958,"yes Over 2.5 runs scored,yes Over 3.5 runs scored,yes Over 3.5 runs scored,yes Over 3.5 runs scored,yes Over 4.5 runs scored,yes Over 3.5 runs scored,yes Jalen Brunson: 20+,yes Andrew Wiggins: 10+,yes Bam Adebayo: 15+,yes Tyler Herro: 15+,yes Immanuel Quickley: 10+,yes Scottie Barnes: 10+",,KXMVESPORTSMULTIGAMEEXTENDED-S2026E92E83598D0,,active,2026-04-12 14:00:00+00:00,2026-04-12 14:00:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S2026AA0EE7D1AD5-80406AEFCC2,"no Over 232.5 points scored,no Over 252.5 points scored,no Over 239.5 points scored,no Over 240.5 points scored,no Over 251.5 points scored,no Over 240.5 points scored,yes Over 3.5 goals scored,yes Over 3.5 goals scored",,KXMVESPORTSMULTIGAMEEXTENDED-S2026AA0EE7D1AD5,,active,2026-04-23 23:30:00+00:00,2026-04-23 23:30:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S2026B0AB7A429B9-21CBB7E14B7,"yes Ryan Weathers: 3+,yes Jack Flaherty: 3+",,KXMVESPORTSMULTIGAMEEXTENDED-S2026B0AB7A429B9,,active,2026-04-12 14:00:00+00:00,2026-04-12 14:00:00+00:00,,,,
KXMVECROSSCATEGORY-S2026656AAA37B72-7E6226F8B7E,"yes Jayson Tatum: 2+,yes Jalen Brunson: 4+,yes Bub Carrington: 2+,yes VJ Edgecombe: 2+,yes Jayson Tatum: 15+,yes Mikal Bridges: 10+,yes OG Anunoby: 10+,yes LeBron James: 15+,yes Andrew Wiggins: 10+,yes Scottie Barnes: 10+,yes Jabari Smith Jr.: 10+,yes Kevin Durant: 20+,yes VJ Edgecombe: 10+,yes Jayson Tatum: 6+,yes OG Anunoby: 2+,yes Draymond Green: 2+,yes LeBron James: 4+,yes Andrew Wiggins: 2+,yes RJ Barrett: 2+,yes Scottie Barnes: 4+,yes Alperen Sengun: 6+,yes VJ Edgecombe: 2+",,KXMVECROSSCATEGORY-S2026656AAA37B72,,active,2026-04-23 23:30:00+00:00,2026-04-23 23:30:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S2026DC44DDDF4D9-944046C9174,"yes Davion Mitchell: 2+,yes Immanuel Quickley: 2+,yes Alperen Sengun: 2+,yes Amen Thompson: 2+,yes Tyrese Maxey: 4+,yes OG Anunoby: 2+,yes Jarace Walker: 2+,yes Draymond Green: 2+,yes LeBron James: 4+,yes Andrew Wiggins: 2+,yes Tyler Herro: 2+,yes Immanuel Quickley: 2+,yes Jakob Poeltl: 4+,yes RJ Barrett: 2+,yes Kevin Durant: 2+,yes Kelly Oubre Jr.: 2+,yes Paul George: 2+,yes VJ Edgecombe: 2+,yes Bryson DeChambeau,yes Cameron Young,yes Hideki Matsuyama,yes Jon Rahm,yes Matt Fitzpatrick,yes Rory McIlroy,yes Scottie Scheffler,yes Tommy Fleetwood,yes Xander Schauffele",,KXMVESPORTSMULTIGAMEEXTENDED-S2026DC44DDDF4D9,,active,2026-04-23 23:00:00+00:00,2026-04-23 23:00:00+00:00,,,,
